GEO_ID,NAME,total_population,poverty_rate,uninsured_rate,limited_english_rate,median_household_income,pct_under_18,pct_65_plus,pct_hs_diploma_only
1400000US09003501800,"Tract 5018 — Frog Hollow / Parkville",2729,0.545,0.007,0.160,19848,0.315,0.015,0.230
1400000US09003504200,"Tract 5042 — Barry Square / S. Green",5485,0.476,0.014,0.134,28370,0.218,0.144,0.184
1400000US09003500300,"Tract 5003 — Asylum Hill",2105,0.476,0.014,0.081,18185,0.200,0.304,0.173
1400000US09003500200,"Tract 5002 — Clay Arsenal",1982,0.466,0.015,0.065,22500,0.307,0.115,0.123
1400000US09003504100,"Tract 5041 — Sheldon / Charter Oak",1581,0.443,0.003,0.119,38266,0.347,0.028,0.127
1400000US09003501700,"Tract 5017 — Behind the Rocks",1514,0.429,0.005,0.209,30750,0.365,0.049,0.224
1400000US09003500100,"Tract 5001 — Downtown / State Capitol",3755,0.364,0.022,0.080,30677,0.255,0.094,0.163
1400000US09003504300,"Tract 5043 — South End",2168,0.241,0.010,0.084,43333,0.179,0.109,0.217
1400000US09003487300,"Tract 4873 — Blue Hills (north)",1500,0.138,0.004,0.070,133750,0.130,0.183,0.123
1400000US09003510100,"Tract 5101 — South Meadows",1895,0.111,0.018,0.105,42595,0.202,0.123,0.220
1400000US09003490100,"Tract 4901 — West Hartford Center",5756,0.037,0.012,0.079,64593,0.190,0.163,0.207
1400000US09003520501,"Tract 5205.01 — Glastonbury",4480,0.034,0.030,0.143,156625,0.232,0.206,0.069
1400000US09003497000,"Tract 4970 — West Hartford (south)",4443,0.024,0.008,0.155,190909,0.225,0.151,0.066
